name,completion_time,human_workload,robot_workload,human_total_time,robot_total_time,SSD_1_human_start,SSD_1_human_end,SSD_1_human_duration,SSD_1_robot_start,SSD_1_robot_end,SSD_1_robot_duration,SSD_2_human_start,SSD_2_human_end,SSD_2_human_duration,SSD_2_robot_start,SSD_2_robot_end,SSD_2_robot_duration,SSD_3_human_start,SSD_3_human_end,SSD_3_human_duration,SSD_3_robot_start,SSD_3_robot_end,SSD_3_robot_duration,SSD_4_human_start,SSD_4_human_end,SSD_4_human_duration,SSD_4_robot_start,SSD_4_robot_end,SSD_4_robot_duration,SSD_5_human_start,SSD_5_human_end,SSD_5_human_duration,SSD_5_robot_start,SSD_5_robot_end,SSD_5_robot_duration,SSD_6_human_start,SSD_6_human_end,SSD_6_human_duration,SSD_6_robot_start,SSD_6_robot_end,SSD_6_robot_duration,SSD_7_human_start,SSD_7_human_end,SSD_7_human_duration,SSD_7_robot_start,SSD_7_robot_end,SSD_7_robot_duration,SSD_8_human_start,SSD_8_human_end,SSD_8_human_duration,SSD_8_robot_start,SSD_8_robot_end,SSD_8_robot_duration,SSD_9_human_start,SSD_9_human_end,SSD_9_human_duration,SSD_9_robot_start,SSD_9_robot_end,SSD_9_robot_duration,SSD_10_human_start,SSD_10_human_end,SSD_10_human_duration,SSD_10_robot_start,SSD_10_robot_end,SSD_10_robot_duration,SSD_11_human_start,SSD_11_human_end,SSD_11_human_duration,SSD_11_robot_start,SSD_11_robot_end,SSD_11_robot_duration,SSD_12_human_start,SSD_12_human_end,SSD_12_human_duration,SSD_12_robot_start,SSD_12_robot_end,SSD_12_robot_duration
TR2_3_HRC.bag,26.00007915496826,4,8,10.999420881271362,115.00072979927063,0,0,0,1752738360.1454477,1752738382.1452208,21.999773025512695,0,0,0,1752738362.1453831,1752738382.1452208,19.999837636947632,0,0,0,1752738364.145074,1752738382.1452208,18.000146865844727,0,0,0,1752738366.1453204,1752738382.1452208,15.999900341033936,0,0,0,1752738369.1451194,1752738382.1452208,13.000101327896118,0,0,0,1752738371.1450362,1752738382.1452208,11.000184535980225,1752738361.144425,1752738364.145074,3.0006489753723145,0,0,0,0,0,0,1752738373.1447182,1752738382.1452208,9.000502586364746,0,0,0,1752738376.1449373,1752738382.1452208,6.000283479690552,1752738358.1453688,1752738361.144425,2.999056100845337,0,0,0,1752738366.1453204,1752738369.1451194,2.9997990131378174,0,0,0,1752738369.1451194,1752738371.1450362,1.9999167919158936,0,0,0
TR1_1_HRC.bag,23.000123262405396,5,7,18.001168489456177,94.9951388835907,0,0,0,1752736978.1695263,1752736998.1686227,19.999096393585205,0,0,0,1752736980.1692007,1752736998.1686227,17.999422073364258,0,0,0,1752736982.169383,1752736998.1686227,15.999239683151245,0,0,0,1752736984.1692438,1752736998.1686227,13.99937891960144,0,0,0,1752736987.1693575,1752736998.1686227,10.999265193939209,0,0,0,1752736989.168574,1752736998.1686227,9.000048637390137,0,0,0,1752736991.1699347,1752736998.1686227,6.998687982559204,1752736986.1685243,1752736989.168574,3.0000498294830322,0,0,0,1752736979.168976,1752736982.169383,3.0004069805145264,0,0,0,1752736976.1687777,1752736979.168976,3.0001983642578125,0,0,0,1752736982.169383,1752736984.1692438,1.9998607635498047,0,0,0,1752736989.168574,1752736996.1692266,7.000652551651001,0,0,0
TR1_2_HRC.bag,23.000755786895752,5,7,18.999850749969482,101.99710822105408,0,0,0,1752737603.2201257,1752737624.2200112,20.99988555908203,0,0,0,1752737605.2203286,1752737624.2200112,18.999682664871216,0,0,0,1752737607.2203665,1752737624.2200112,16.99964475631714,0,0,0,1752737609.2206304,1752737624.2200112,14.999380826950073,0,0,0,1752737612.22039,1752737624.2200112,11.999621152877808,0,0,0,1752737614.2204807,1752737624.2200112,9.999530553817749,0,0,0,1752737616.2206485,1752737624.2200112,7.9993627071380615,1752737613.2203925,1752737622.2207904,9.00039792060852,0,0,0,1752737611.2207448,1752737613.2203925,1.999647617340088,0,0,0,1752737602.2204542,1752737604.2206972,2.0002429485321045,0,0,0,1752737604.2206972,1752737607.2203665,2.999669313430786,0,0,0,1752737608.220852,1752737611.2207448,2.9998929500579834,0,0,0
TR2_1_HRC.bag,23.999167442321777,5,6,11.999261140823364,81.9967565536499,0,0,0,1752737058.1696558,1752737077.1685755,18.99891972541809,0,0,0,1752737060.168503,1752737077.1685755,17.000072479248047,0,0,0,1752737062.1695888,1752737077.1685755,14.998986721038818,0,0,0,1752737064.1687179,1752737077.1685755,12.999857664108276,0,0,0,1752737067.16839,1752737077.1685755,10.000185489654541,0,0,0,1752737069.169841,1752737077.1685755,7.998734474182129,1752737065.1693866,1752737067.16839,1.9990034103393555,0,0,0,0,0,0,0,0,0,1752737060.168503,1752737062.1695888,2.0010857582092285,0,0,0,1752737056.1685913,1752737059.169499,3.0009076595306396,0,0,0,1752737062.1695888,1752737065.1693866,2.999797821044922,0,0,0,1752737069.169841,1752737071.1683075,1.9984664916992188,0,0,0
TR1_3_HRC.bag,22.00001811981201,5,7,20.000122547149658,92.99963092803955,0,0,0,1752738164.2757268,1752738184.275704,19.999977111816406,0,0,0,1752738166.2764053,1752738184.275704,17.999298572540283,0,0,0,1752738168.2755983,1752738184.275704,16.000105619430542,0,0,0,1752738170.2759092,1752738184.275704,13.999794721603394,0,0,0,1752738173.2756238,1752738184.275704,11.000080108642578,1752738166.2764053,1752738169.276162,2.9997565746307373,0,0,0,1752738173.2756238,1752738183.2756565,10.000032663345337,0,0,0,0,0,0,1752738176.2754052,1752738184.275704,8.000298738479614,1752738164.2757268,1752738166.2764053,2.000678539276123,0,0,0,1752738161.275746,1752738164.2757268,2.9999806880950928,0,0,0,1752738170.2759092,1752738172.2755833,1.9996740818023682,0,0,0,0,0,0,1752738178.2756279,1752738184.275704,6.000076055526733
TR2_2_HRC.bag,27.00046706199646,4,8,22.0008704662323,117.99362754821777,0,0,0,1752737737.2202635,1752737760.2197804,22.99951696395874,0,0,0,1752737739.2205443,1752737760.2197804,20.99923610687256,0,0,0,1752737741.2197614,1752737760.2197804,19.000019073486328,0,0,0,1752737744.2204378,1752737760.2197804,15.999342679977417,0,0,0,1752737747.2206573,1752737760.2197804,12.999123096466064,0,0,0,1752737749.221123,1752737760.2197804,10.998657464981079,1752737740.2206619,1752737743.2209754,3.0003135204315186,0,0,0,0,0,0,1752737751.2210736,1752737760.2197804,8.998706817626953,1752737744.2204378,1752737746.2210379,2.0006000995635986,0,0,0,1752737735.220668,1752737739.2205443,3.9998762607574463,0,0,0,1752737746.2210379,1752737759.2211185,13.000080585479736,0,0,0,0,0,0,1752737754.220755,1752737760.2197804,5.999025344848633
